epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2452,1.48301,3.28577,1.71047,0.06483,0.22406,0.02544,0.00912,2.69938,34.0503,3.09662,0.000472882,0.000472882,0.000472882
2,61.7411,1.77499,2.63893,1.9011,0.0659,0.28159,0.03549,0.01949,nan,nan,nan,0.000930421,0.000930421,0.000930421
3,85.7855,1.69864,2.44714,1.87724,0.28176,0.29774,0.19582,0.09988,1.90982,3.89266,2.23285,0.0013691,0.0013691,0.0013691
4,109.586,1.63087,2.25691,1.82054,0.38928,0.35238,0.31506,0.15212,1.8076,2.89198,2.12578,0.00134412,0.00134412,0.00134412
5,133.392,1.53503,2.10405,1.74831,0.51122,0.46404,0.44574,0.26884,1.54158,2.49322,1.85669,0.00131582,0.00131582,0.00131582
6,156.886,1.50734,1.95966,1.70357,0.45291,0.43809,0.37108,0.19107,1.62102,2.85424,1.8292,0.00128753,0.00128753,0.00128753
7,180.399,1.39721,1.79443,1.6318,0.55706,0.4873,0.49609,0.30683,1.45338,2.19446,1.75677,0.00125923,0.00125923,0.00125923
8,203.759,1.35982,1.72649,1.59568,0.54425,0.56778,0.57314,0.35123,1.43553,1.92569,1.78239,0.00123094,0.00123094,0.00123094
9,227.44,1.35161,1.64134,1.6016,0.61281,0.64777,0.63462,0.40464,1.33253,1.60068,1.63382,0.00120265,0.00120265,0.00120265
10,250.935,1.30094,1.5733,1.56572,0.62041,0.6915,0.68002,0.42677,1.31509,1.65039,1.66303,0.00117435,0.00117435,0.00117435
11,274.076,1.29385,1.57563,1.55613,0.67636,0.58103,0.65243,0.40347,1.34402,1.53888,1.66062,0.00114606,0.00114606,0.00114606
12,297.22,1.28055,1.48441,1.53201,0.7208,0.67635,0.75635,0.50771,1.21388,1.34165,1.53658,0.00111776,0.00111776,0.00111776
13,320.376,1.23967,1.39791,1.50815,0.71034,0.70595,0.73713,0.48164,1.27613,1.34352,1.58219,0.00108947,0.00108947,0.00108947
14,343.449,1.20421,1.37521,1.47302,0.51846,0.55953,0.51111,0.32166,1.5048,2.69037,1.86045,0.00106118,0.00106118,0.00106118
15,366.542,1.21288,1.34264,1.49289,0.70249,0.72466,0.7829,0.53584,1.17514,1.28204,1.52025,0.00103288,0.00103288,0.00103288
16,389.608,1.17437,1.28971,1.45394,0.74294,0.7093,0.77037,0.52211,1.17489,1.26563,1.52899,0.00100459,0.00100459,0.00100459
17,412.672,1.17173,1.24552,1.44583,0.66194,0.7493,0.73712,0.5131,1.19281,1.3704,1.54699,0.000976293,0.000976293,0.000976293
18,435.879,1.16241,1.21778,1.44172,0.74096,0.70347,0.77004,0.53763,1.15862,1.17037,1.49364,0.000947999,0.000947999,0.000947999
19,459.059,1.14892,1.17536,1.41843,0.69185,0.72749,0.75286,0.53957,1.13025,1.40777,1.4689,0.000919704,0.000919704,0.000919704
20,482.101,1.1127,1.12781,1.3998,0.83795,0.74359,0.80998,0.57608,1.15522,1.13592,1.47883,0.00089141,0.00089141,0.00089141
21,505.175,1.11021,1.12981,1.40755,0.78976,0.74905,0.82397,0.60096,1.07085,1.16012,1.41644,0.000863116,0.000863116,0.000863116
22,528.268,1.06467,1.06788,1.36495,0.7747,0.80479,0.82747,0.59184,1.11233,1.02064,1.44119,0.000834822,0.000834822,0.000834822
23,551.335,1.06071,1.06303,1.35113,0.76112,0.8055,0.82469,0.59489,1.14086,1.01907,1.45776,0.000806528,0.000806528,0.000806528
24,574.428,1.08104,1.05871,1.35952,0.85694,0.77341,0.84444,0.61444,1.09611,1.07072,1.46136,0.000778233,0.000778233,0.000778233
25,597.61,1.04414,1.00921,1.35512,0.84004,0.82278,0.856,0.62428,1.08306,1.03078,1.41216,0.000749939,0.000749939,0.000749939
26,620.806,1.02409,0.98873,1.32875,0.82497,0.8067,0.86218,0.62667,1.07239,0.9995,1.40442,0.000721645,0.000721645,0.000721645
27,643.905,1.03985,0.99231,1.33997,0.86599,0.81698,0.86593,0.64594,1.054,0.9563,1.40176,0.000693351,0.000693351,0.000693351
28,667.026,1.01688,0.96988,1.31452,0.81288,0.88045,0.87176,0.65336,0.99739,0.85581,1.36474,0.000665057,0.000665057,0.000665057
29,690.199,0.9821,0.88884,1.29662,0.84424,0.85696,0.87626,0.63753,1.08397,0.91275,1.38008,0.000636762,0.000636762,0.000636762
30,713.414,0.96303,0.88302,1.27606,0.83638,0.83327,0.86663,0.64509,1.00674,0.89081,1.34804,0.000608468,0.000608468,0.000608468
31,736.454,0.95214,0.88764,1.27686,0.8646,0.81293,0.87264,0.63835,0.98357,0.91114,1.33063,0.000580174,0.000580174,0.000580174
32,759.667,0.94146,0.87555,1.2679,0.8504,0.81919,0.87098,0.66241,0.97804,0.86062,1.32998,0.00055188,0.00055188,0.00055188
33,782.885,0.95158,0.86306,1.26687,0.83723,0.84989,0.8776,0.66676,0.98037,0.83902,1.3312,0.000523586,0.000523586,0.000523586
34,806.058,0.94409,0.8377,1.27148,0.8478,0.86199,0.89244,0.68285,0.96217,0.78927,1.29504,0.000495291,0.000495291,0.000495291
