epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9304,0.94131,0.91236,1.50072,1.02798,0.88329,0.67457,0.7617,0.56043,0.85535,0.6573,0.72994,0.40345,0.72895,0.47911,0.82036,0.89827,0.0004154,0.0004154,0.0004154
2,78.9661,0.7689,0.60435,0.86735,0.94076,0.90593,0.6836,0.77384,0.57114,0.89909,0.65192,0.74443,0.39378,0.69886,0.46291,0.6376,0.91762,0.000815592,0.000815592,0.000815592
3,116.18,0.73432,0.57714,0.74613,0.93501,0.8923,0.73057,0.81138,0.59432,0.88899,0.72766,0.80421,0.48198,0.65463,0.47148,0.59973,0.87829,0.00119928,0.00119928,0.00119928
4,153.595,0.71807,0.57436,0.67316,0.93616,0.87534,0.7811,0.81656,0.62213,0.87994,0.78279,0.80941,0.47584,0.6343,0.41948,0.54453,0.88248,0.00117575,0.00117575,0.00117575
5,188.544,0.68998,0.54759,0.62999,0.92506,0.82392,0.7892,0.81483,0.60141,0.811,0.77764,0.79444,0.46907,0.63552,0.41978,0.54904,0.88513,0.001151,0.001151,0.001151
6,224.885,0.66488,0.54297,0.59144,0.91943,0.89985,0.80343,0.83888,0.63684,0.88081,0.78665,0.81618,0.50199,0.60628,0.42649,0.51252,0.86987,0.00112625,0.00112625,0.00112625
7,255.879,0.65771,0.51926,0.57231,0.91868,0.93841,0.76968,0.84092,0.65022,0.92966,0.76106,0.81397,0.4926,0.61947,0.4077,0.49808,0.87512,0.0011015,0.0011015,0.0011015
8,289.197,0.63673,0.52227,0.55239,0.91061,0.89579,0.76486,0.83448,0.636,0.89733,0.75194,0.8231,0.51168,0.59286,0.40702,0.51805,0.86903,0.00107675,0.00107675,0.00107675
9,319.454,0.62842,0.52444,0.5412,0.91628,0.92424,0.7628,0.8413,0.64387,0.9182,0.75754,0.82795,0.49849,0.56704,0.40103,0.48796,0.86515,0.001052,0.001052,0.001052
10,358.185,0.61244,0.50905,0.52037,0.90846,0.91743,0.78873,0.85295,0.6536,0.90753,0.77195,0.82385,0.49319,0.56295,0.42079,0.46343,0.86311,0.00102725,0.00102725,0.00102725
11,398.097,0.6031,0.49708,0.5131,0.90375,0.92426,0.75838,0.84181,0.63927,0.92299,0.75295,0.83699,0.49427,0.56215,0.39812,0.47828,0.86011,0.0010025,0.0010025,0.0010025
12,437.894,0.60897,0.50635,0.50394,0.9068,0.8691,0.7886,0.84218,0.66137,0.86973,0.78909,0.84093,0.50009,0.56216,0.40526,0.46971,0.86411,0.00097775,0.00097775,0.00097775
13,478.304,0.59707,0.50204,0.49724,0.90536,0.92729,0.78608,0.85323,0.67404,0.90783,0.76997,0.81918,0.48459,0.54658,0.39086,0.46452,0.85907,0.000953,0.000953,0.000953
14,517.859,0.5887,0.49327,0.48055,0.90155,0.92608,0.7742,0.85232,0.6466,0.92145,0.76653,0.83459,0.51493,0.55327,0.40236,0.45784,0.86263,0.00092825,0.00092825,0.00092825
15,557.226,0.58227,0.49222,0.48577,0.9008,0.90722,0.79325,0.85882,0.66073,0.91089,0.77361,0.83779,0.50304,0.53855,0.40332,0.45997,0.85796,0.0009035,0.0009035,0.0009035
16,597.187,0.57743,0.48829,0.48453,0.90137,0.90856,0.78936,0.85572,0.66651,0.90496,0.78044,0.8375,0.51848,0.53604,0.3878,0.44688,0.85737,0.00087875,0.00087875,0.00087875
17,631.334,0.57587,0.48677,0.47253,0.898,0.89761,0.81221,0.85927,0.67649,0.88206,0.79819,0.82866,0.51891,0.53368,0.38396,0.4394,0.8593,0.000854,0.000854,0.000854
18,671.511,0.5637,0.48313,0.46277,0.89771,0.91369,0.80787,0.85135,0.66267,0.90731,0.79639,0.83423,0.51105,0.5384,0.39503,0.45446,0.85478,0.00082925,0.00082925,0.00082925
19,709.24,0.56081,0.47494,0.44471,0.89286,0.91608,0.80016,0.84717,0.67635,0.90848,0.78947,0.83283,0.53859,0.52953,0.38084,0.43467,0.85116,0.0008045,0.0008045,0.0008045
20,747.28,0.55167,0.47557,0.44485,0.891,0.92648,0.80471,0.85991,0.66127,0.88792,0.82168,0.85517,0.52987,0.55042,0.37879,0.43722,0.85879,0.00077975,0.00077975,0.00077975
21,784.518,0.54996,0.46853,0.44894,0.89101,0.89938,0.81929,0.8542,0.67872,0.89104,0.81167,0.84018,0.52056,0.51686,0.38614,0.43197,0.85045,0.000755,0.000755,0.000755
22,824.764,0.5472,0.46323,0.44737,0.89087,0.90828,0.80179,0.8668,0.68101,0.9051,0.79432,0.85022,0.53846,0.51878,0.3794,0.42415,0.85012,0.00073025,0.00073025,0.00073025
23,863.977,0.54098,0.46924,0.4414,0.8901,0.88065,0.81696,0.86535,0.67764,0.87093,0.80831,0.84969,0.53108,0.5171,0.37233,0.42104,0.85167,0.0007055,0.0007055,0.0007055
24,902.623,0.5395,0.46219,0.4332,0.88934,0.91377,0.79489,0.85844,0.67739,0.8984,0.79502,0.8401,0.53531,0.53207,0.37621,0.4255,0.8541,0.00068075,0.00068075,0.00068075
25,941.506,0.53851,0.46435,0.43192,0.88946,0.8728,0.80756,0.85223,0.67576,0.86678,0.80217,0.83434,0.52768,0.51405,0.37006,0.4226,0.85113,0.000656,0.000656,0.000656
