epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2149,0.81115,0.91659,1.253,1.06692,0.90785,0.81534,0.87084,0.66129,0.92988,0.77851,0.82882,0.47958,0.60495,0.38713,0.54034,0.8789,0.00331313,0.00331313,0.00331313
2,55.873,0.68543,0.5353,0.62146,0.93914,0.84998,0.83199,0.86834,0.65044,0.87928,0.7617,0.83833,0.48368,0.65937,0.43913,0.56291,0.91333,0.0066355,0.0066355,0.0066355
3,76.7753,0.75382,0.54357,0.64593,0.96529,0.81227,0.80303,0.82963,0.58602,0.80667,0.78022,0.80761,0.45573,0.76137,0.50622,0.65578,0.94539,0.00994686,0.00994686,0.00994686
4,99.1267,0.75631,0.54273,0.62492,0.97665,0.92271,0.77076,0.84871,0.62675,0.89548,0.74864,0.80815,0.44317,0.63352,0.46368,0.59179,0.93961,0.0099505,0.0099505,0.0099505
5,121.885,0.71427,0.52649,0.58281,0.97201,0.90074,0.71649,0.81802,0.60493,0.81559,0.75182,0.81052,0.48476,0.66891,0.45658,0.58991,0.95375,0.009934,0.009934,0.009934
6,145.36,0.69578,0.51044,0.55965,0.96076,0.8799,0.75979,0.83304,0.63826,0.89541,0.74001,0.81077,0.49871,0.61668,0.40839,0.5436,0.93986,0.0099175,0.0099175,0.0099175
7,168.851,0.68007,0.51411,0.54242,0.96396,0.89903,0.76498,0.81168,0.62207,0.90969,0.76681,0.80791,0.49123,0.61652,0.42375,0.52174,0.94367,0.009901,0.009901,0.009901
8,192.564,0.6634,0.5018,0.52704,0.95988,0.8575,0.73353,0.7729,0.59689,0.87621,0.73959,0.79917,0.50591,0.60301,0.41186,0.54078,0.92317,0.0098845,0.0098845,0.0098845
9,216.107,0.64226,0.49333,0.51613,0.9541,0.87621,0.75492,0.82826,0.62647,0.85466,0.73467,0.7787,0.46246,0.56628,0.39883,0.53491,0.94417,0.009868,0.009868,0.009868
10,239.622,0.63335,0.50203,0.51133,0.95369,0.85014,0.79507,0.85128,0.65153,0.8354,0.78279,0.83348,0.48918,0.56722,0.40565,0.49679,0.92397,0.0098515,0.0098515,0.0098515
11,262.816,0.62084,0.47926,0.50009,0.94775,0.84089,0.79106,0.82806,0.63413,0.81575,0.78589,0.81868,0.4913,0.56819,0.41079,0.48047,0.9293,0.009835,0.009835,0.009835
12,286.601,0.61349,0.47902,0.48741,0.94394,0.88036,0.78174,0.82593,0.64117,0.89488,0.74309,0.81373,0.50703,0.58182,0.38751,0.51265,0.94931,0.0098185,0.0098185,0.0098185
13,309.257,0.61174,0.48958,0.48438,0.94684,0.87804,0.80581,0.83719,0.6655,0.8805,0.80571,0.83242,0.50483,0.55511,0.39596,0.48131,0.94803,0.009802,0.009802,0.009802
14,332.601,0.60257,0.48282,0.48138,0.94266,0.90406,0.74517,0.84048,0.65296,0.86806,0.76348,0.83131,0.49811,0.54288,0.40121,0.48191,0.92373,0.0097855,0.0097855,0.0097855
15,355.985,0.58824,0.46925,0.47686,0.93448,0.86968,0.80282,0.83483,0.64354,0.86414,0.79722,0.82558,0.52181,0.57824,0.39802,0.46515,0.96233,0.009769,0.009769,0.009769
16,379.696,0.58711,0.47788,0.46667,0.93672,0.91026,0.7663,0.82966,0.65353,0.92669,0.77779,0.83522,0.50813,0.51906,0.37628,0.47231,0.92121,0.0097525,0.0097525,0.0097525
17,403.263,0.57484,0.4741,0.4493,0.92739,0.92716,0.78526,0.87257,0.68508,0.91079,0.77118,0.83925,0.51363,0.53898,0.38408,0.46988,0.94088,0.009736,0.009736,0.009736
18,426.571,0.57313,0.47237,0.45086,0.93135,0.87783,0.81654,0.86252,0.67592,0.92212,0.76596,0.83766,0.52048,0.53057,0.37748,0.43679,0.93941,0.0097195,0.0097195,0.0097195
19,449.614,0.57195,0.46294,0.45415,0.92964,0.89736,0.79674,0.84445,0.64888,0.89804,0.79564,0.84863,0.51921,0.53194,0.38375,0.45972,0.93546,0.009703,0.009703,0.009703
20,472.808,0.55992,0.45735,0.43825,0.92784,0.91682,0.79084,0.85095,0.65789,0.89716,0.79624,0.83782,0.5052,0.52631,0.37909,0.43755,0.93827,0.0096865,0.0096865,0.0096865
21,495.838,0.56469,0.4544,0.44043,0.93112,0.90617,0.80837,0.86702,0.66781,0.90567,0.75822,0.82028,0.50414,0.52627,0.38669,0.44052,0.94295,0.00967,0.00967,0.00967
