epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1437,1.07331,1.14003,1.37847,0.92485,0.89074,0.94275,0.67966,0.99767,0.53885,1.29017,0.00332233,0.00332233,0.00332233
2,96.5665,1.02364,0.75139,1.32949,0.83782,0.83322,0.89577,0.61432,1.10337,0.83485,1.42727,0.00663919,0.00663919,0.00663919
3,139.616,1.10863,0.84196,1.36452,0.86737,0.7701,0.85457,0.57089,1.20279,0.88236,1.50084,0.00993955,0.00993955,0.00993955
4,180.918,1.1783,0.93132,1.42684,0.89079,0.76079,0.84785,0.56667,1.19188,0.85851,1.50423,0.00992575,0.00992575,0.00992575
5,222.643,1.16927,0.91309,1.41694,0.90603,0.79662,0.87643,0.59029,1.16731,0.8443,1.44177,0.009901,0.009901,0.009901
6,264.337,1.14167,0.87128,1.40292,0.91667,0.82624,0.91484,0.62971,1.12636,0.72146,1.43434,0.00987625,0.00987625,0.00987625
7,303.887,1.10721,0.818,1.37965,0.89256,0.84927,0.91199,0.63914,1.08755,0.69806,1.38729,0.0098515,0.0098515,0.0098515
8,345.019,1.09284,0.7841,1.36732,0.88645,0.8518,0.90586,0.62041,1.14668,0.71229,1.41176,0.00982675,0.00982675,0.00982675
9,386.414,1.07637,0.77333,1.35128,0.92369,0.85273,0.9193,0.64732,1.0825,0.65128,1.37303,0.009802,0.009802,0.009802
10,427.712,1.04395,0.74128,1.33133,0.92308,0.86989,0.9237,0.65531,1.07433,0.62922,1.35168,0.00977725,0.00977725,0.00977725
11,469.3,1.03346,0.72815,1.33031,0.9479,0.88116,0.94084,0.67912,1.0305,0.5813,1.32588,0.0097525,0.0097525,0.0097525
12,510.5,1.00976,0.6959,1.30736,0.92633,0.86905,0.93339,0.6726,1.03212,0.58189,1.32429,0.00972775,0.00972775,0.00972775
13,549.415,0.9968,0.69522,1.29573,0.92857,0.88827,0.93884,0.67968,1.01889,0.56003,1.33186,0.009703,0.009703,0.009703
14,591.507,1.00061,0.67495,1.30452,0.94232,0.9006,0.9516,0.69324,0.99436,0.53513,1.28922,0.00967825,0.00967825,0.00967825
15,633.96,0.99199,0.68128,1.28848,0.95617,0.88523,0.94481,0.69708,0.97991,0.54122,1.28138,0.0096535,0.0096535,0.0096535
16,675.901,0.98561,0.65656,1.29178,0.92322,0.90875,0.94903,0.70313,0.96004,0.52267,1.27776,0.00962875,0.00962875,0.00962875
17,716.464,0.96052,0.64065,1.27512,0.94569,0.90147,0.9576,0.71251,0.95456,0.50895,1.26807,0.009604,0.009604,0.009604
18,758.885,0.96099,0.63403,1.26484,0.93122,0.91147,0.9587,0.71849,0.96189,0.49075,1.24686,0.00957925,0.00957925,0.00957925
19,800.874,0.95587,0.62485,1.2612,0.95844,0.91155,0.96066,0.72327,0.95319,0.49493,1.24919,0.0095545,0.0095545,0.0095545
20,842.965,0.94865,0.60704,1.25962,0.96872,0.89421,0.95889,0.72171,0.92922,0.4813,1.23764,0.00952975,0.00952975,0.00952975
21,885.761,0.93492,0.5975,1.25166,0.94494,0.9205,0.95912,0.72336,0.93041,0.48168,1.2531,0.009505,0.009505,0.009505
22,928.44,0.92768,0.59051,1.24375,0.94847,0.91873,0.96149,0.72723,0.92724,0.4732,1.23151,0.00948025,0.00948025,0.00948025
23,970.885,0.92751,0.58896,1.23876,0.95,0.91882,0.95993,0.71826,0.94357,0.48835,1.25944,0.0094555,0.0094555,0.0094555
24,1013.27,0.90496,0.58003,1.22872,0.94512,0.90891,0.95309,0.7174,0.93224,0.48606,1.24498,0.00943075,0.00943075,0.00943075
25,1055.66,0.91596,0.58181,1.24176,0.9558,0.91794,0.96436,0.73569,0.93134,0.46069,1.22836,0.009406,0.009406,0.009406
26,1098.62,0.90319,0.56793,1.23414,0.9476,0.92526,0.96591,0.73858,0.90592,0.45459,1.21248,0.00938125,0.00938125,0.00938125
27,1141.34,0.90776,0.56729,1.22421,0.94418,0.92614,0.96282,0.7381,0.90756,0.45595,1.21228,0.0093565,0.0093565,0.0093565
28,1183.64,0.89407,0.55743,1.22421,0.93831,0.92334,0.96057,0.73068,0.92315,0.45937,1.23253,0.00933175,0.00933175,0.00933175
29,1224.94,0.88422,0.54968,1.21398,0.94985,0.92287,0.96174,0.74221,0.89447,0.44143,1.20169,0.009307,0.009307,0.009307
30,1263.21,0.88014,0.54727,1.21225,0.95034,0.92621,0.96185,0.74039,0.88721,0.44071,1.19381,0.00928225,0.00928225,0.00928225
31,1302.39,0.88295,0.53461,1.20923,0.95462,0.92493,0.96691,0.73832,0.89838,0.45263,1.20773,0.0092575,0.0092575,0.0092575
32,1344.23,0.86496,0.53301,1.20304,0.96591,0.93306,0.9677,0.74455,0.86415,0.42796,1.18477,0.00923275,0.00923275,0.00923275
33,1387.06,0.8743,0.53472,1.20495,0.93866,0.92078,0.96453,0.74798,0.86879,0.44294,1.17911,0.009208,0.009208,0.009208
34,1427.6,0.85702,0.5163,1.19276,0.96096,0.93157,0.96973,0.75511,0.85933,0.41177,1.16352,0.00918325,0.00918325,0.00918325
35,1466.46,0.8496,0.52685,1.19246,0.94908,0.9354,0.9661,0.75265,0.86638,0.42602,1.17975,0.0091585,0.0091585,0.0091585
36,1507.99,0.84842,0.52049,1.18827,0.94485,0.93539,0.96745,0.75356,0.86325,0.42326,1.18154,0.00913375,0.00913375,0.00913375
37,1550.02,0.84384,0.51564,1.18008,0.96008,0.93071,0.96837,0.75812,0.86027,0.41648,1.18107,0.009109,0.009109,0.009109
38,1592.75,0.84806,0.51312,1.18502,0.94974,0.9395,0.96764,0.75246,0.85763,0.40729,1.17618,0.00908425,0.00908425,0.00908425
39,1635.22,0.83284,0.5096,1.17532,0.96483,0.93378,0.96887,0.76303,0.84475,0.40495,1.15326,0.0090595,0.0090595,0.0090595
40,1677.91,0.83117,0.49668,1.16517,0.96268,0.92989,0.97104,0.76949,0.8309,0.40349,1.14722,0.00903475,0.00903475,0.00903475
41,1720.68,0.82381,0.4981,1.17465,0.95906,0.93475,0.97291,0.77167,0.84097,0.40358,1.15623,0.00901,0.00901,0.00901
42,1763.75,0.82567,0.49555,1.17155,0.96479,0.92434,0.96789,0.76391,0.83565,0.40255,1.16415,0.00898525,0.00898525,0.00898525
43,1806.45,0.81354,0.48927,1.15953,0.96141,0.92708,0.96941,0.76584,0.82785,0.40256,1.14876,0.0089605,0.0089605,0.0089605
