epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6441,1.65233,2.08193,1.7248,0.7102,0.44061,0.49437,0.25435,1.8769,2.62393,2.27234,0.068458,0.0016601,0.0016601
2,43.0852,1.61548,1.71715,1.73114,0.65192,0.50206,0.53887,0.29495,1.63397,2.33223,1.82408,0.0367912,0.00332668,0.00332668
3,63.0398,1.55682,1.50872,1.6879,0.69846,0.66014,0.74501,0.4313,1.43074,1.37498,1.74875,0.00512413,0.0049929,0.0049929
4,83.005,1.46635,1.34418,1.63544,0.76435,0.64244,0.71119,0.44345,1.40479,1.67975,1.70519,0.00499878,0.00499878,0.00499878
5,102.861,1.44523,1.25731,1.59424,0.83608,0.74384,0.81426,0.49432,1.35137,1.12113,1.64129,0.00499783,0.00499783,0.00499783
6,122.812,1.39954,1.17138,1.56281,0.89165,0.80287,0.87359,0.55874,1.28178,0.89275,1.59859,0.00499661,0.00499661,0.00499661
7,142.766,1.36964,1.10703,1.55011,0.89915,0.7916,0.88635,0.56527,1.26344,0.88432,1.54159,0.00499512,0.00499512,0.00499512
8,162.52,1.33724,1.03993,1.5112,0.89394,0.81462,0.88402,0.56402,1.26839,0.86264,1.58117,0.00499335,0.00499335,0.00499335
9,182.446,1.32875,1.02121,1.49843,0.90772,0.83971,0.90379,0.58277,1.23025,0.75789,1.52925,0.00499132,0.00499132,0.00499132
10,202.444,1.31384,1.00443,1.4981,0.92137,0.8455,0.91631,0.59935,1.2245,0.7371,1.53505,0.00498902,0.00498902,0.00498902
11,222.433,1.27493,0.94913,1.4667,0.92592,0.86675,0.92208,0.60663,1.18495,0.71983,1.48602,0.00498644,0.00498644,0.00498644
12,241.494,1.2748,0.93981,1.47091,0.92483,0.84005,0.9191,0.60542,1.19513,0.75411,1.49468,0.0049836,0.0049836,0.0049836
13,261.181,1.29346,0.94211,1.48008,0.94186,0.87857,0.92971,0.61702,1.1754,0.67529,1.49489,0.00498048,0.00498048,0.00498048
14,280.923,1.24994,0.90919,1.462,0.93947,0.88216,0.93654,0.62583,1.15861,0.68819,1.47897,0.0049771,0.0049771,0.0049771
15,300.985,1.25352,0.89712,1.46239,0.94823,0.88176,0.93885,0.6259,1.16583,0.63166,1.47811,0.00497345,0.00497345,0.00497345
16,321.07,1.24405,0.86297,1.44926,0.9414,0.88581,0.93658,0.62463,1.17708,0.65833,1.4827,0.00496953,0.00496953,0.00496953
17,340.746,1.21523,0.85382,1.42655,0.9149,0.88903,0.92444,0.62525,1.15708,0.66064,1.47238,0.00496534,0.00496534,0.00496534
18,360.711,1.20314,0.84806,1.42762,0.94302,0.88649,0.94377,0.63325,1.15467,0.61469,1.4957,0.00496088,0.00496088,0.00496088
19,380.643,1.22636,0.83251,1.43459,0.9442,0.88985,0.93948,0.64352,1.11641,0.63466,1.43512,0.00495616,0.00495616,0.00495616
20,400.583,1.21747,0.8452,1.42369,0.93815,0.89972,0.94671,0.64388,1.11018,0.60788,1.44506,0.00495117,0.00495117,0.00495117
21,420.585,1.20214,0.80664,1.41706,0.95549,0.90224,0.94792,0.64069,1.11834,0.59946,1.43561,0.00494592,0.00494592,0.00494592
22,440.616,1.19067,0.80275,1.39656,0.93944,0.89668,0.94561,0.64378,1.11808,0.59743,1.42794,0.00494039,0.00494039,0.00494039
23,460.231,1.19942,0.7963,1.41138,0.95143,0.89906,0.95071,0.65149,1.12294,0.58536,1.42676,0.00493461,0.00493461,0.00493461
24,479.668,1.1705,0.78277,1.38715,0.95317,0.89548,0.95324,0.65621,1.1112,0.57107,1.43067,0.00492856,0.00492856,0.00492856
25,498.898,1.1727,0.7779,1.38897,0.95825,0.90151,0.94927,0.65467,1.08767,0.5865,1.39601,0.00492224,0.00492224,0.00492224
26,518.397,1.16573,0.77042,1.39318,0.94942,0.91373,0.95625,0.65539,1.10802,0.54893,1.43693,0.00491567,0.00491567,0.00491567
27,538.495,1.1672,0.76337,1.38725,0.9681,0.90014,0.96042,0.66313,1.10696,0.54218,1.42268,0.00490883,0.00490883,0.00490883
28,558.4,1.15917,0.73738,1.36329,0.96511,0.91295,0.96014,0.6764,1.07818,0.534,1.38592,0.00490173,0.00490173,0.00490173
29,578.306,1.15206,0.74226,1.36994,0.9576,0.92099,0.95947,0.66517,1.08777,0.52825,1.41664,0.00489437,0.00489437,0.00489437
30,597.966,1.15274,0.74167,1.38171,0.95259,0.91492,0.95717,0.67202,1.07028,0.54585,1.39639,0.00488674,0.00488674,0.00488674
31,617.997,1.14489,0.7382,1.3755,0.95445,0.90038,0.96003,0.66786,1.08282,0.53824,1.39583,0.00487886,0.00487886,0.00487886
32,637.889,1.15551,0.74479,1.37585,0.96088,0.90721,0.95912,0.67446,1.06257,0.53201,1.38723,0.00487073,0.00487073,0.00487073
33,657.665,1.12293,0.71747,1.34723,0.96137,0.90634,0.95759,0.67314,1.06703,0.52359,1.39794,0.00486233,0.00486233,0.00486233
34,677.641,1.12249,0.72106,1.35313,0.94454,0.90859,0.96088,0.6815,1.04601,0.51821,1.38745,0.00485368,0.00485368,0.00485368
35,697.518,1.11655,0.71268,1.34518,0.96631,0.90014,0.95885,0.68025,1.03633,0.53338,1.36519,0.00484477,0.00484477,0.00484477
36,717.132,1.11656,0.70338,1.34473,0.94189,0.91384,0.95505,0.6691,1.0752,0.53631,1.37968,0.00483561,0.00483561,0.00483561
37,737.118,1.11114,0.70845,1.34081,0.94697,0.92052,0.96224,0.6853,1.04012,0.5134,1.36392,0.0048262,0.0048262,0.0048262
38,757.137,1.11803,0.71578,1.34961,0.95965,0.91591,0.96388,0.6821,1.04582,0.51322,1.37683,0.00481653,0.00481653,0.00481653
39,776.947,1.1023,0.68323,1.33454,0.96448,0.92001,0.96306,0.68786,1.03618,0.48964,1.37768,0.00480661,0.00480661,0.00480661
40,796.705,1.10211,0.68225,1.33609,0.95984,0.92287,0.96575,0.68757,1.03142,0.49498,1.34814,0.00479644,0.00479644,0.00479644
41,816.082,1.0923,0.68186,1.32356,0.96463,0.92719,0.96622,0.69134,1.03777,0.48058,1.34646,0.00478603,0.00478603,0.00478603
42,835.681,1.10088,0.67633,1.33102,0.96269,0.92777,0.96508,0.69325,1.03596,0.48503,1.36466,0.00477536,0.00477536,0.00477536
43,855.282,1.08815,0.66265,1.33348,0.95677,0.9332,0.96864,0.69448,1.03899,0.48223,1.3581,0.00476445,0.00476445,0.00476445
44,874.575,1.09693,0.66686,1.32619,0.96521,0.93377,0.96943,0.69977,1.02135,0.48218,1.3508,0.00475329,0.00475329,0.00475329
45,894.311,1.07142,0.66262,1.3243,0.95767,0.92121,0.96627,0.6894,1.02921,0.49156,1.36521,0.00474189,0.00474189,0.00474189
46,914.291,1.07949,0.67779,1.32238,0.94515,0.92694,0.9649,0.691,1.02932,0.49253,1.37657,0.00473024,0.00473024,0.00473024
47,934.209,1.07762,0.67595,1.31598,0.96852,0.92922,0.96829,0.69817,1.02072,0.47834,1.35605,0.00471835,0.00471835,0.00471835
48,953.864,1.07329,0.65665,1.31371,0.96334,0.93146,0.9665,0.70234,1.00864,0.46452,1.34146,0.00470623,0.00470623,0.00470623
49,973.861,1.07169,0.65249,1.30896,0.96853,0.92736,0.96633,0.70088,1.01949,0.47496,1.34063,0.00469386,0.00469386,0.00469386
50,993.705,1.06429,0.64864,1.31378,0.96426,0.92785,0.96717,0.70202,1.01297,0.47663,1.35515,0.00468125,0.00468125,0.00468125
51,1013.29,1.05958,0.65081,1.30093,0.96952,0.92546,0.97015,0.70105,1.01341,0.46837,1.32796,0.00466841,0.00466841,0.00466841
52,1033.4,1.08266,0.65961,1.31894,0.96331,0.92546,0.9697,0.70879,1.00323,0.46257,1.33839,0.00465534,0.00465534,0.00465534
53,1053.28,1.03866,0.62736,1.28873,0.96151,0.93097,0.97055,0.71306,0.98553,0.4568,1.3081,0.00464203,0.00464203,0.00464203
54,1072.95,1.0614,0.63942,1.30628,0.96507,0.93612,0.97164,0.7099,1.01077,0.45191,1.34738,0.00462848,0.00462848,0.00462848
55,1092.67,1.05265,0.62378,1.29897,0.96058,0.92886,0.96985,0.70562,0.99899,0.47068,1.33983,0.00461471,0.00461471,0.00461471
56,1112.57,1.04913,0.63742,1.29077,0.96714,0.93096,0.97073,0.71302,0.98875,0.45271,1.32462,0.00460071,0.00460071,0.00460071
57,1132.33,1.03408,0.62972,1.28104,0.96351,0.92644,0.9727,0.71321,0.98166,0.4515,1.29551,0.00458648,0.00458648,0.00458648
58,1152.23,1.03182,0.62023,1.27362,0.97204,0.92665,0.97247,0.71088,0.98851,0.44966,1.32192,0.00457202,0.00457202,0.00457202
59,1172.21,1.03978,0.61133,1.27694,0.96357,0.93522,0.97224,0.71635,0.9896,0.44224,1.30088,0.00455734,0.00455734,0.00455734
60,1192.08,1.02769,0.61777,1.2704,0.96224,0.93333,0.97027,0.70996,0.9868,0.45259,1.33093,0.00454244,0.00454244,0.00454244
61,1211.65,1.03227,0.6237,1.29164,0.97376,0.9204,0.97204,0.72128,0.97521,0.44111,1.31344,0.00452732,0.00452732,0.00452732
62,1231.29,1.02595,0.61063,1.27619,0.96474,0.93377,0.97308,0.71786,0.97431,0.4345,1.31617,0.00451197,0.00451197,0.00451197
63,1251.33,1.0061,0.60619,1.26421,0.96712,0.92893,0.97261,0.72284,0.97356,0.43618,1.29972,0.00449641,0.00449641,0.00449641
64,1270.67,1.01363,0.59691,1.27233,0.96126,0.93633,0.9724,0.7178,0.97596,0.43902,1.31298,0.00448063,0.00448063,0.00448063
65,1290.56,1.02154,0.60893,1.27683,0.95424,0.9347,0.96962,0.72741,0.96851,0.44081,1.31137,0.00446464,0.00446464,0.00446464
